"Year2";"Wall";"TotalArea1";"Address";"long";"lat"
"01.09.1960";"кирпичные";"196";"г. Ленинск, ул. Им Ленина, д. 155";45,1924815;48,7011745
"01.09.1964";"кирпичные";"283,9";"г. Ленинск, ул. Им Ленина, д. 231";45,199551;48,694229
"01.09.1961";"каркасно-засыпные";"120,3";"г. Ленинск, ул. Комсомольская, д. 32";86,1916265;54,6480725
"01.09.1917";"кирпичные";"196,3";"г. Ленинск, ул. Комсомольская, д. 7";45,1993715;48,6955735
"01.09.1962";"кирпичные";"277";"г. Ленинск, ул. Фрунзе, д. 95";45,187711;48,704213
"01.09.1973";"кирпичные";"746,3";"г. Ленинск, мкр. ПМК-40, д. 3";45,183516;48,7129945
"01.09.1975";"кирпичные";"742,5";"г. Ленинск, мкр. ПМК-40, д. 4";45,1839385;48,712733
"01.09.1962";"кирпичные";"391,1";"г. Ленинск, ул. Фрунзе, д. 93";45,1876035;48,7045285
"01.09.1975";"кирпичные";"736,8";"г. Ленинск, мкр. ПМК-40, д. 5";45,1839745;48,7123585
"01.09.1977";"кирпичные";"587,8";"г. Ленинск, мкр. ПМК-40, д. 7";45,184594;48,71174
"01.09.1973";"кирпичные";"756,5";"г. Ленинск, мкр. ПМК-40, д. 11";45,183444;48,712305
"01.09.1979";"кирпичные";"888,6";"г. Ленинск, мкр. ПМК-40, д. 7а";45,1849805;48,711431
"01.09.1974";"кирпичные";"904,3";"г. Ленинск, мкр. ПМК-40, д. 7б";45,18507;48,711003
"01.09.1973";"кирпичные";"897,5";"г. Ленинск, мкр. ПМК-40, д. 8";45,1841895;48,711401
"01.09.1982";"кирпичные";"942,6";"г. Ленинск, мкр. ПМК-40, д. 8а";45,1843335;48,710747
"01.09.1974";"кирпичные";"907";"г. Ленинск, мкр. ПМК-40, д. 9";45,1836775;48,711217
"01.09.1973";"кирпичные";"733";"г. Ленинск, мкр. ПМК-40, д. 12";45,182941;48,7121265
"13.09.1973";"кирпичные";"579,5";"г. Ленинск, мкр. ПМК-40, д. 13";45,1827075;48,712703
"01.12.1982";"кирпичные";"395,8";"г. Ленинск, ул. Железнодорожная, д. 10";45,2120285;48,72285
"01.09.1983";"панельные";"611,6";"г. Ленинск, ул. Им Ленина, д. 33";45,184136;48,713446
"01.09.1983";"блочные";"603,3";"г. Ленинск, ул. Им Ленина, д. 35";45,185627;48,711627
"01.09.1974";"кирпичные";"690,5";"г. Ленинск, ул. Им Ленина, д. 55";45,1875045;48,709945
"01.09.1978";"кирпичные";"919,6";"г. Ленинск, ул. Им Ленина, д. 56";45,1876215;48,707781
"01.09.1968";"кирпичные";"722,6";"г. Ленинск, ул. Им Ленина, д. 100";45,1901725;48,703595
"01.09.1983";"кирпичные";"3365,5";"г. Ленинск, ул. Им Ленина, д. 102";45,190559;48,7030005
"01.09.1978";"кирпичные";"873,8";"г. Ленинск, ул. Им Ленина, д. 57";45,187226;48,7095225
"01.09.1976";"кирпичные";"904,1";"г. Ленинск, ул. Им Ленина, д. 59";45,1879625;48,709368
"01.09.1981";"кирпичные";"894,5";"г. Ленинск, ул. Им Ленина, д. 61";45,1876395;48,708916
"01.09.1973";"кирпичные";"358,4";"г. Ленинск, ул. Им Ленина, д. 98";45,189948;48,7039575
"01.09.1969";"кирпичные";"710,9";"г. Ленинск, ул. Им Ленина, д. 186";45,1954275;48,6962035
"01.09.1971";"кирпичные";"871,4";"г. Ленинск, ул. Им Ленина, д. 207";45,1954815;48,696834
"01.09.1983";"панельные";"606";"г. Ленинск, ул. Карла Либкнехта, д. 1";45,1853755;48,713702
"01.09.1980";"панельные";"603,4";"г. Ленинск, ул. Карла Либкнехта, д. 2";45,1869565;48,712085
"01.09.1979";"панельные";"591,8";"г. Ленинск, ул. Карла Либкнехта, д. 4";45,187244;48,7117815
"01.09.1976";"кирпичные";"585,3";"г. Ленинск, ул. Максима Горького, д. 90";45,2039615;48,7113715
"01.09.1976";"кирпичные";"899,6";"г. Ленинск, ул. Максима Горького, д. 92";45,2045095;48,7112765
"01.09.1979";"кирпичные";"584,9";"г. Ленинск, ул. Максима Горького, д. 94";45,2047705;48,71092
"01.09.1987";"кирпичные";"907,1";"г. Ленинск, ул. Пушкина, д. 15а";45,203881;48,695918
"01.09.1983";"панельные";"597,9";"г. Ленинск, ул. Орджоникидзе, д. 1";45,1865975;48,713571
"01.09.1973";"кирпичные";"905,2";"г. Ленинск, ул. Чернышевского, д. 5";45,188268;48,708993
"01.09.1977";"кирпичные";"890,9";"г. Ленинск, ул. Чернышевского, д. 16";45,1882235;48,7083335
"01.09.1977";"кирпичные";"875,3";"г. Ленинск, ул. Чернышевского, д. 18";45,1887355;48,708643
"01.09.1977";"кирпичные";"911,7";"г. Ленинск, ул. Чернышевского, д. 20";45,189517;48,708946
"01.09.1974";"кирпичные";"706,7";"г. Ленинск, ул. Чернышевского, д. 22";45,190433;48,70932
"01.09.1987";"панельные";"603,3";"г. Ленинск, ул. Им Ленина, д. 35а";45,1844505;48,7132145
"01.09.1983";"панельные";"608,2";"г. Ленинск, ул. Карла Либкнехта, д. 1а";45,1849805;48,713446
"01.09.1983";"панельные";"600,9";"г. Ленинск, ул. Карла Либкнехта, д. 1б";45,1850255;48,7140405
"01.09.1974";"кирпичные";"367,5";"г. Ленинск, ул. Чернышевского, д. 24";45,191089;48,7096
"01.09.1977";"кирпичные";"853";"г. Ленинск, ул. Чернышевского, д. 32";45,192131;48,709564
"01.09.1980";"кирпичные";"892,5";"г. Ленинск, ул. Чернышевского, д. 32а";45,191511;48,709356
"01.09.1975";"кирпичные";"913,1";"г. Ленинск, ул. Чернышевского, д. 34";45,1928225;48,709683
"01.09.1975";"кирпичные";"363,4";"г. Ленинск, ул. Чернышевского, д. 36";45,1930385;48,7100695
"01.09.1969";"кирпичные";"723,3";"г. Ленинск, ул. Чернышевского, д. 38";45,192616;48,710319
"01.09.1969";"кирпичные";"257,4";"г. Ленинск, ул. Чернышевского, д. 40";45,192167;48,7104975
"01.09.1966";"кирпичные";"274,4";"г. Ленинск, ул. Ястребова, д. 1";45,187828;48,703993
"01.09.1968";"кирпичные";"359,6";"г. Ленинск, ул. Ястребова, д. 3";45,1882055;48,7041005
"01.08.1987";"кирпичные";"617";"г. Ленинск, мкр. ПМК-40, д. 1";45,1828425;48,7138745
"01.09.1987";"панельные";"617,2";"г. Ленинск, мкр. ПМК-40, д. 2";45,1823125;48,7138505
"01.09.1984";"блочные";"618,4";"г. Ленинск, ул. Им Ленина, д. 37";45,1858875;48,711306
"01.09.1984";"блочные";"597,7";"г. Ленинск, ул. Им Ленина, д. 39";45,186139;48,710991
"01.09.1982";"кирпичные";"906,3";"г. Ленинск, ул. Им Ленина, д. 54а";45,187298;48,708256
"01.09.1968";"кирпичные";"551,3";"г. Ленинск, ул. Ястребова, д. 5";45,1887085;48,7042075
"01.09.1968";"кирпичные";"722,1";"г. Ленинск, ул. Ястребова, д. 6";45,189337;48,704023
"01.09.1968";"кирпичные";"729,9";"г. Ленинск, ул. Ястребова, д. 7";45,18949;48,7044215
"01.09.1987";"панельные";"2903";"г. Ленинск, ул. Им Ленина, д. 106";45,1907925;48,7015495
"01.09.1984";"кирпичные";"900,1";"г. Ленинск, ул. Им Ленина, д. 315";45,2119745;48,6975895
"01.09.1989";"блочные";"613,4";"г. Ленинск, ул. Им Ленина, д. 317а";45,2126305;48,6977495
"01.09.1987";"кирпичные";"933,4";"г. Ленинск, ул. Карла Либкнехта, д. 45";45,190532;48,708934
"01.09.1987";"панельные";"608,7";"г. Ленинск, ул. Карла Либкнехта, д. 47";45,1908285;48,70847
"01.09.1987";"панельные";"636,8";"г. Ленинск, ул. Карла Либкнехта, д. 49";45,1911965;48,708773
"01.09.1986";"панельные";"599,7";"г. Ленинск, ул. Карла Либкнехта, д. 6";45,187253;48,711413
"01.06.1986";"панельные";"601,5";"г. Ленинск, ул. Степана Разина, д. 11";45,219754;48,7020605
"01.09.1986";"панельные";"607,8";"г. Ленинск, ул. Степана Разина, д. 13";45,2195835;48,70171
"01.09.1991";"панельные";"3938,5";"г. Ленинск, мкр. 3-й, д. 2";45,2013385;48,718808
"01.09.1995";"панельные";"3994,4";"г. Ленинск, мкр. 3-й, д. 3";45,2005035;48,7189385
"01.12.2004";"панельные";"2856,9";"г. Ленинск, мкр. 3-й, д. 5";45,201608;48,7196995
"01.09.1989";"панельные";"604,3";"г. Ленинск, ул. Орджоникидзе, д. 35";45,1987335;48,709838
"01.09.1988";"кирпичные";"965,8";"г. Ленинск, ул. Воровского, д. 47";45,2115705;48,6978865
"01.09.2000";"кирпичные";"906,4";"г. Ленинск, ул. Им Ленина, д. 208";45,1967125;48,6938725
"01.09.1989";"панельные";"590,2";"г. Ленинск, ул. Им Ленина, д. 23";45,183983;48,714231
"01.09.1988";"панельные";"590,6";"г. Ленинск, ул. Им Ленина, д. 25";45,183642;48,714005
"01.09.1988";"панельные";"602,8";"г. Ленинск, ул. Им Ленина, д. 27";45,183992;48,7137375
"01.09.1989";"блочные";"612,5";"г. Ленинск, ул. Им Ленина, д. 317";45,2126305;48,6977495
"01.09.1990";"блочные";"611,2";"г. Ленинск, ул. Им Ленина, д. 36";45,185043;48,710634
"01.09.1991";"блочные";"657,4";"г. Ленинск, ул. Им Ленина, д. 38";45,1855735;48,7107295
"01.09.1990";"панельные";"604";"г. Ленинск, ул. Карла Либкнехта, д. 8";45,186669;48,711205
"01.09.1993";"кирпичные";"532";"г. Ленинск, ул. Клары Цеткин, д. 1б";45,1961375;48,6938605
"01.09.1988";"панельные";"605,9";"г. Ленинск, ул. Орджоникидзе, д. 41";45,196775;48,71064
"01.09.1990";"кирпичные";"898,2";"г. Ленинск, ул. Карла Либкнехта, д. 14";45,189957;48,708666
"01.09.1990";"панельные";"640,4";"г. Ленинск, ул. Карла Либкнехта, д. 51";45,191062;48,708114
"01.06.1990";"панельные";"630,1";"г. Ленинск, ул. Карла Либкнехта, д. 53";45,191601;48,708108
"01.09.1990";"панельные";"594,2";"г. Ленинск, ул. Орджоникидзе, д. 45";45,1982665;48,710046
"01.09.1994";"кирпичные";"750";"г. Ленинск, ул. Промышленная, д. 22";45,2042315;48,7348365
"01.09.1992";"панельные";"603,2";"г. Ленинск, ул. Степана Разина, д. 10";45,218802;48,7016445
"01.09.1992";"панельные";"595,7";"г. Ленинск, ул. Степана Разина, д. 8";45,21873;48,7021025
